ID,Textos,Título
64,"EL ECO DE SITGES    Una lápida en piedra amarilla, con unas letras grabadas en azul, recuerda que  en aquella casa hubo el semanario El Eco de Sitges, propiedad de la familia  Soler. La fachada blanca es la típica de una casita de pueblo con su portalón,  ahora siempre cerrado, una ventana alta con reja de lanzas de hierro y en el  primer piso un balcón de baranda y un ventanuco, con los portones echados y  los cristales sucios de lluvia pasada y polvo acumulado.      Era la Imprenta del Eco de Sitges, la tienda de cuadernos, el taller de costura,  la redacción y el despacho con librería acristalada, el espacio mágico de donde  cada viernes salía renacido aquel periódico semanal de intereses morales y  materiales, El Eco de Sitges, semanario de información local, arte, literatura y  turismo, una reliquia del ochocientos que vencía el paso de los años y  alcanzaba su centenario. Lean el Eco de Sitges, desde el 1 de marzo de 1886.      Aprendí a leer en sus cinco columnas. En su Arte y Artistas empecé a  interesarme por pintores y cuadros, obras expuestas en las paredes de las  galerías de Sitges, que años más tarde fueron mis hogares otros, mis palacios  de invierno, mis jardines de verano. Poco a poco fui entrando en el mundo de  papel impreso y conocí al genio de imprenta que colocaba las letras  componiendo palabras y frases, a veces vueltas patas arriba u otras revueltas  divertidamente, formando gazapos surrealistas.      La pequeña Minerva manual fue sustituida por una complicada y grande  maquinaria Offset, que en pocos años quedó totalmente obsoleta. Lucía  burlona la imprenta a pedal, plantada en la entrada principal como aquella arpa  dormida en el ángulo oscuro del salón de música. Al fondo de la casona el viejo  patio se transformó en un ruidoso taller de impresión y montaje de aquel  periódico semanal, hebdomadario encabezado con el grabado panorámico del  paseo marítimo con su ciudad jardín de Terramar, enmarcando la estampa de  la iglesia parroquial, la Punta, coronada por las cumbres de Garraf, el viejo  gigante enamorado de Dona d’Aigua, madre de Falconera, Vallbona y Ginesta.                                           Autor: Isidre Roset i Juan.   ",el eco de sitges
65,"ACTIVIDADES EN EL ENTORNO DEL MAR MENOR           En los últimos tiempos se ha hablado mucho acerca del Mar Menor, uno de los  mayores tesoros presentes en la región de Murcia. Esta terrible situación se debe  principalmente a la actividad humana debido a diferentes causas.           Por un lado se encuentran los vertidos de sustancias contaminantes que provienen de  los desagües de depuradoras o de escorrentías, los residuos generados por la actividad  agrícola y explotaciones ganaderas.           A esto se suma también los residuos de la anterior actividad minera que han llegado a  través de las ramblas. La Sierra Minera se extiende desde Cartagena al Cabo de Palos pasando  por la Unión. Desde hace años se está sufriendo las consecuencias de dicha actividad debido a  que las empresas no dieron cumplimiento a la normativa, produciendo de esta manera  residuos en alto contenido metálico que pesado que llega a las ramblas y después acaba en el  mar por viento, las escorrentías y el suelo. En concreto los residuos más peligrosos se han  generado recientemente con la minería moderna, pues se trata de residuos más finos, más  reactivos y generadores de procesos bioquímicos formando sales metálicas.           La incidencia de desastres naturales como las tormentas y lluvias torrenciales propias  de esta zona geográfica ha propiciado que se arrastren más fácilmente estos residuos. A esto  se le junta una deficiente red de saneamiento y la excesiva urbanización debido al gran  turismo de esta área.           Todos estos residuos provocan lo que se conoce como eutrofización, es decir, el  enriquecimiento de nutrientes del agua particularmente de nitrógeno o fósforo lo que origina  cambios muy importantes en el ecosistema produciendo a su vez la proliferación marina de  algas, la falta de oxígeno y la dificultad de que la luz solar llegue hasta el fondo, lo que  provoca que desaparezcan organismos que vivan en ese entorno. De hecho ya se vivió ese  escenario en el que se vieron montones de peces muertos a la orilla del mar y el agua en  estado de putrefacción.           No es solamente un problema ecológico, sino social y económico pues puede  conllevar riesgos para la salud de las personas y una disminución del turismo.   ",actividades en el entorno del mar menor
66,"SALVAR EL ARABÍ            El monte Arabí está declarado patrimonio cultural de la humanidad por la UNESCO.  Se trata de uno de los monumentos naturales más importantes de la región de Murcia. En este  lugar se encuentra el legado de nuestros antepasados y su modo de vida reflejado en las  pinturas rupestres situadas en los Cantos de Visera. Posee numerosos yacimientos  arqueológicos. En el cerro Arabilejo todavía se pueden ver trozos de las murallas del poblado  de bronce que hubo allí. Al pie de éste, se encuentra uno de los campos de cazoletas. Aparte  de ello se encuentran numerosos grabados en algunas rocas cuyo origen se desconoce, lo que  propicie que giren leyendas en torno al lugar y a la forma de vida del pasado.            Posee además una gran riqueza paisajística y biológica, pues se encuentra una gran  variedad de flora y fauna que conforma el ecosistema de esta zona.            Hace tres años se planteó un proyecto de macrogranja en el término de Albacete en las  inmediaciones del Monte Arabí. Desde ese momento hasta ahora se han venido aconteciendo  numerosas manifestaciones en contra de su instalación hasta formar una plataforma llamada  Salvemos el Arabí. Esto provoco que se paralizara el proyecto aunque sigue en pie vigente  aunque falta llegar a un acuerdo. Hasta el momento se están agotando todas las vías legales  para preservar nuestro patrimonio, por lo que la presión social no ha disminuido.            Esta actividad tiene un gran impacto negativo ligado a varios ámbitos como la gran  cantidad de recursos hídricos que serían necesarios para que esto fuera posible teniendo en  cuenta que nuestros acuíferos son fósiles en su mayoría y limitados en el espacio y el tiempo,  la enorme cantidad de insectos que aflorarían como la mosca común, además de la gran  cantidad de desechos y de malos olores que generaría. Por lo tanto conllevaría u impacto  medioambiental, arqueológico, social, sanitario y paisajístico            En definitiva se trata de una industria altamente contaminante que afectaría en nuestra  vida diaria. Es por ello necesario preservar el patrimonio histórico, artístico y cultural de la  zona, pues esta actividad podría truncar a la larga también la economía y nuestro modo de  vida.   ",salvar el arabi
67,"La aldea mágica         El tintineo de los bolsillos delanteros del pantalón de mi abuelo tiene magia. No son  monedas que se convertirán en chocolates en la dulcería de mi calle. Es más fascinante. Carga  tornillos y tuercas por si encuentra alguna máquina que reparar. La punta Phillips y las mordazas  de la llave inglesa parecen títeres emergiendo del bolsillo trasero: clapclap aplauden al paso  firme y lento de mi nonno que yo acompaño a saltitos de niña. Me suelta la mano cuando  llegamos al puesto de control de calidad.          Don Balduino, ya sale la bobina nueva. Le traigo la muestra?  grita Carmelo  asomándose desde la continua Uno, en medio de la nube de vapor que desprende el secado del  papel. Parece un duende en mameluco que responde a las órdenes del patrón, mi abueloPapá  Noel industrial.          Claro, hombre! vamos, controla mi nieta!  me siento importante, a mis cinco años,  como parte del plantel de su fábrica, una de sus chicas y muchachos que produce esos rollos  gigantes de papel que se convertirán en cajas de cartón corrugado de máxima calidad.          Señorita, su muestra  Carmelo me trae el trozo de papel aún tibio, exagera el gesto  haciendo una reverencia. Río, imagino que se bajó de un trineo. El silbido de la prensa suena  como chifle alertará a los renos escondidos tras la máquina Dos?         Bajo la atenta mirada de mi abuelo corto el papel con el molde, me esmero para que el  decímetro cuadrado no tenga ni sobrantes ni faltantes. Él lo pone en la balanza de precisión:          Teresita, qué te parece?          Nonno, la puntita está en la raya roja está bien!  Mi abuelo, sabiendo que aún no sé  leer ha preparado una marca en la lectura deseada. Le sonrío satisfecha.            Carmelo, aprobado! Sigan  grita y agita la mano derecha en alto indicando O.K.;  prefiere el contacto humano en vez de intercomunicador,           Pasaron más de 50 años y sigue en mí el recuerdo de Papelera Bernal. Fundada por mi  abuelo Balduino Borroni y dos socios. Suyos fueron el diseño de las máquinas, el montaje, la  puesta en marcha y el mantenimiento. Sus operarios lo reconocieron como ingeniero sin título  y hombre en quien confiar. Ese lugar fue mi patio de juegos: aldea mágica que convertía una  pasta con olor a humedad en el papel más maravilloso, crocante y almizclado que, hecho cajas,  transformé en faros, barcos, carrozas y naves espaciales. Algo así como vivir en la mítica fábrica  de juguetes del Polo Norte.   ",la aldea magica
68,"                       Mira, Maruxina, mira      M             aruxina se miraba a veces a sí misma cuando tuvo que bajar a la             mina en los primeros años del fascismo Fue la orfandad familiar             de varones, ejecutados o expatriados por los vencedores de la  guerra, la que la lanzó, apenas adolescente, al tajo, al único sitio que podía  darle a los restos femeninos del naufragio bélico una mínima y dura esperanza  de supervivencia.         Entonces, el hecho de que una mujer bajase a la mina no era siquiera  objeto de atención por la prensa del dictador Nunca hubo artículos  sensacionalistas y, mucho menos, imágenes sobre el asunto en una televisión  arcaica, casi inexistente.         Entonces sus compañeros varones, humillados y ofendidos como ella,  no habían erguido aún el legado patriarcal del acoso, la ofensa o el  paternalismo sexistas.         Entonces casi todo era solidaridad en las galerías, compañeru, dame  tira! Porque bien sabían que el enemigo estaba fuera.           Maruxina miraba a veces cómo había salido de la mina después de llorar  por muchos compañeros muertos Después de tragar mucho polvo de carbón  y mucha bilis rebelde.         Antes, eso sí, de tener que asistir a la quiebra de la vieja solidaridad, a la  interesada confusión del otrora nítido enfrentamiento entre obreros y  patronos Antes de tener que asistir a la dilapidación de puestos de trabajo a  cambio de unas prejubilaciones torticeras que eran pan para hoy y hambre  para mañana. Antes de tener que oír a un ministro democrático decir que era  mejor que a los mineros se les diese el sueldo por estar en su casa.           Maruxina mira ahora y escucha Y oye mensajes como los de esa  bienintencionada propaganda sobre seguridad laboral, con la que se pretende  llevar a los empresarios a reflexionar sobre el escaso coste de distintos  elementos de protección en el trabajo, para acaba interrogándose  comparativamente sobre el coste de la vida de un trabajador         El anuncio concluye que La vida d’un trabayador non tien preciu!  Pero Maruxina no puede evitar una sonrisa irónica al pensar en la razón por la  que la mayoría de los patronos , de ayer, de hoy y de mañana, coincidirán en el  absurdo de plantearse el precio de la vida de un trabajador: hailos asgaya!.   ",mira maruxina mira
69,"               Quién encenderá la mecha?      A           Ntón estaba aburrido La tarde otoñal, con su luz amarilla y espesa,           aumentaba su sensación de incomodidad.                  Se sentía incómodo con una madre cada día más encerrada en  las ceremonias absurdas de los cotilleos televisivos, con un padre cuya vida se  llenaba de ritos totalmente ajenos al hogar familiar y sus habitantes, con unos  amigos que se iban hundiendo paulatinamente en su propia inconsistencia, con  unas chicas que aparecían ante él entre la atracción inevitable y el imposible  entendimiento, con una escuela donde solo se le exigía la repetición anodina  de viejas historias sin vida, con una ciudad que ya apenas capaz de ofrecerle  algo distinto al ocio consumista de las grandes superficies comerciales Con  un mundo, en fin, donde quienes no se morían de hambre agonizaban de puro  tedio. Un mundo que sólo parecía divertir a los grandes manipuladores de las  masas sumisas.         Pensando en todo eso, Antón acabó en la remozada Biblioteca Pública  que frecuentara en su infancia Y un libro cayó en sus manos como una  llamada: Rebelión en Asturias.         Días mas tarde, subyugado por los hechos que Albert Camus había  convertido en pieza teatral, oía las balas de aquel Octubre, casi noventa años  atrás, silbando sobre su cabeza mientras latían sus sienes con el mismo ardor  que daba fuerzas a los protagonistas del drama, el mismo afán por hacer de  Asturias la fértil semilla de un universo nuevo y solidario.         Oía también los sones de la vieja canción, Antón encendió la mecha,  fízolo con picardía, mientras en la pantalla del televisor y en las páginas de  los periódicos sesudos filósofos y tenaces historiadores no paraban sobre el  sentido de aquel impulso: revolución, levantamiento popular, simple revuelta,  golpe de Estado?.         Pero el mundo seguía siendo un asco, ahora globalizado Su ciudad,  un buen decorado para la impostura del todo vale Su escuela, un sórdido  instrumento para el aprendizaje de la sumisión Las chicas, un interrogante  imposible Sus amigos, la quintaesencia de la vacuidad Su familia, un  espacio ritual de incomunicación alienante         Quién encendería ya la mecha de la rebelión o el vómito?   ",quien encendera la mecha
70,"El duper.      En mi juventud serví en la obra como peón, acarreando todo tipo de material. Era  más duro que ninguno, estaba cuadrado. Después, las circunstancias me llevaron al  campo segoviano, a trabajar con los labradores.      En mis 50 años de vida, he llevado y traído las vacas al prado , he ido a por leña al  monte, he traído y llevado paquetes de hierba, transportado estiércol, (caca de vaca  para más detalles), he cargado leña ( de pino para más señas ), he sacado al coche  del jefe de más de un apuro, he llevado a los niños de paseo al monte y hasta les  he enseñado a conducir cuando crecieron.      Sí, me llaman duper, es el nombre de pila en mi casa, pero, técnicamente, soy un  Dumper marca Ausa con arranque a manivela ( y a la primera ), con caja de carga  cuadrada, nada del típico y vulgar volquete de otros dumpers, que no habría servido  igual a Leonardo, mi dueño que, aún hoy, a sus 90 años sigue dándome trabajo.      Es verdad que los años se van notando y tengo algunos achaques: tiene holgura mi  volante, el freno de mano no se sostiene, el color naranja de mi caja tiene calvas de  óxido marrón y las ruedas esperan algún revetón.      Algunos dirán que ya estoy amortizado, que mi vida útil se ha superado, yo digo que  no quiero ser chatarra ni maquinaria industrial abandonada sin nombre. Quiero  seguir siendo, por muchos años, ese duper de mi dueño segoviano.   ",el duper
71,"La química entre tú y yo    Digamos que una reacción química ha ocurrido cuando un determinado número de  moléculas de una o más especies han perdido su identidad inicial y han asumido una  nueva forma. Esto puede ser debido a un cambio en el tipo o número de átomos que la  componen, o también puede ser por un cambio en la estructura o manera de agruparse  de dichos átomos. Entonces, los enlaces existentes se rompen y aparecen otros nuevos.    Y ya no es la misma especie química. Después de encontrarse con la otra especie, ésa en  particular que la ha hecho reaccionar sin ella quererlo y ni tan siquiera buscarlo, deja de  ser la que era. Se ha transformado en otra para siempre. No obstante, si se encontrara  con otra entidad química diferente también podría reaccionar y convertirse en una  nueva, pero distinta a su vez de la que se produjera si reaccionara con la anterior.    Por otra parte, la rapidez con que esta especie se transforma en otra depende de varios  factores, como por ejemplo, la presencia de un catalizador o el estado físico en el que se  encuentre. Aun así, puede ocurrir que en un determinado medio ambas moléculas no  experimenten cambios, pero bajo las condiciones de presión y temperatura adecuadas, o  incluso añadiendo el catalizador idóneo, reaccionen.    Está claro que, aunque estas dos entidades moleculares se encuentren y reaccionen con  mayor o menor rapidez la una con la otra, tienen que encontrarse. No deja de existir una  probabilidad. La probabilidad de que ambas coincidan en ese lugar y en ese diferencial  de tiempo específicos para que sus átomos colisionen.    Y si hay suerte, puede tratarse de una de esas reacciones espontáneas en las que se  libera gran cantidad de energía en forma de chispas de colores.    Y si todavía hay más suerte, pueden llegar a un equilibrio dinámico, en el que las  reacciones que transforman reactantes en productos y productos en reactantes ocurren al  mismo tiempo. Un equilibrio dinámico eterno de dos procesos reversibles.    Así somos tú y yo: Desde el maravilloso instante en el que la magia ocurrió, ni tú ni yo  volveremos a ser los mismos jamás.   ",la quimica entre tu y yo
72,"Clementina entre vacas cocidas y enlatadas.  En amplias tierras pampeanas, donde las vacas fueron el comienzo de mucho y todo pareciera  pasar por la carne de vaca, todos sabemos y el mundo sabe: la carne es dinero!. Los ingleses  sabían: los saladeros alimentaron esclavos; y ellos, dieron de comer a los pobres entre guerras.  La fábrica extranjera, en Sudamérica, tuvo un firme propósito: ​vacas para cocinar y enlatar​.    Clementina se acercó a mi casa en el pueblo. Cuento tras cuento, revivió sus mejores años  junto a ​la Fábrica de extracto de carne. Su padre fue hombre de ​la Compañía​. Ella, bisnieta  de presidente argentino y sangre escocesa, nació en la orilla oriental y cruzó el río en ​chalana​.  Vivieron casi pegados a ​la Manga​. Ese camino entre paraísos por donde llegaban las vacas,  definía 2 clases: las casitas obreras y los chalets para empleados. La manga nos divide?,  entre los vecinos no hay acuerdo. Para ella, sus hermanos y primos, era su patio de juegos!    Sí, le impresionaba el tropel de vacas en marcha a la muerte, arreadas por ​troperos ​a gritos.  Nunca sintió pánico mayor que el día cuando su primo muy de hacer bromas, la dejó solita en  medio del camino de las vacas. Con apenas 5 años y sin saber cómo, se sintió mirada por unos  cuantos pares de ojos, a pocos centímetros por arriba de su corta altura, otros tantos pares de  cuernos y el doble de pares de patas, en rauda corrida en su dirección. ​En segundos el corazón  me dejó de latir y cuando reaccioné del shock de verme muerta, no me dieron las patas para  correr del paso de la tropa​. Paso, sólo detenido por el diestro cuchillo del desnucador.    El humo de las chimeneas eran señal del ritmo fabril: entre mugidos y gemidos de animales,  el ruido repetitivo de máquinas, con cansancio y sudores en los cuerpos, el bullicio de mujeres  etiquetando latas, el aroma penetrante de la salmuera de cueros y el olor a carne ​evaporando.  Según papá, una vaca rinde 4 kg de extracto que llenan 40 frascos de 2 onzas, puro jugo de  carne, que añadíamos en sopas o guisos.​ Sin embargo, entre los obreros el hábito fue cocinar  a escondidas sobre tuberías calientes. El trabajo marcó el paso del tiempo del pueblo. No  podía haber tiempos muertos. ​La noria ​giró sin parar como un sinfín, hasta alcanzar su fin!.    Qué queda de un lugar cuando la razón que todos tenían para ir allí ya no existe? Fundar un  pueblo no fue tarea fácil. Es señalar un lugar en el mapa e inventar un mundo con fantasmas,  raíces y recuerdos en cada esquina. Telaraña de historias y memorias como las de Clementina.  Qué mágico encuentro! Vacas, hombres y máquinas convocados junto al fuego en una cocina  gigantesca con enormes calderos de donde el sabor a puchero familiar, envolvía el territorio.  La esencia fue transformar vacas en alimentos: más que industria, toda una filosofía de vida!   ",clementina entre vacas cocidas y enlatadas
73,"                             VISITAMOS UNA HARINERA      Carlos bostezaba mientras su madre le metía prisa para prepararse. Hoy tenían  una visita a la Fábrica de harinas San Antonio de Medina de Rioseco, ubicada al  lado del Canal de Castilla. Ambas construcciones del siglo XIX y declaradas Bien  de Interés Cultural.      Pero Cómo entender el proceso de transformación del trigo en harina con  toda esa maquinaria a la vista? Carlos se quedó fascinado escuchando al guía de  ojos saltones que le recordaba a su dibujo animado favorito, Homer Simpson.      En primer lugar, el cereal llegaba por barcas a través del canal y se almacenaba  en la panera. La turbina hidráulica ubicada en la planta baja transmitía la fuerza  del caudal de agua y luego mediante cangilones, el trigo subía hasta el 3er piso  donde la desterradora eliminaba la tierra; y seguidamente, bajaba hasta la tarara  para cribar semillas. En la 1 planta pasaba a la deschinadora para quitar piedras y,  desde ahí, volvía a ascender hacia el triarvejón o separador de tipos de semillas.      El guía continuó ante la atenta mirada de Carlos quien le preguntó con  curiosidad acerca del funcionamiento de una máquina. Muy buena duda! seguiré el  recorrido de la harinera desde ahí dijo el sabio Mario.      El germen era extraído por la despuntadora para pasar después por varios  artilugios: la lavadora, el rociador de agua y la satinadora que quitaba restos de  metal. Tras ello, ya se iniciaba la fase de molienda, según la cual el trigo transitaba  por molinos trituradores hasta reducirse el producto a polvo.      Carlos, te gustaría mover uno de estos plansichters? le sugirió Mario.  Claro que sí, cuéntame más! exclamó el chico. El grano ya muy pequeño pasa a la  fase de cernido, en la que se separa el salvado que servía de comida al ganado  de la harina en sí. Para ello, tienes que agarrar los extremos y realizar un  movimiento de zigzag para que veas su proceso por medio de bastidores de tela y  de seda le comentó el guía. Ay, qué mareo! afirmó Carlos con cara de emoción.        Al final, la harina se mete en sacos a través de las bocas de empaque y se  ajusta su peso con la romana. Qué es eso? preguntó el chiguito. Es un utensilio  para pesar con precisión moviendo este pilón a lo largo de la regla, súbete Carlos y  comprobamos cuánto pesas! clausuró Mario.        Mamá ha sido una mañana impresionante, podemos montarnos ahora en el  barco Antonio de Ulloa y ver las esclusas como hace un mes? preguntó con  afán de respuesta positiva. Claro cielo, estoy deseando! afirmó su madre.   ",visitamos una harinera
74,"                    EL SILENCIO DE LAS BODEGAS.          Aquellos hombres, y sus bodegas.  Que con sus candiles y sus velas construyeron lo no visto.  Que con sus picos y sus palas y cestos al hombro, sudor y lágrimas  picaron debajo y en la profundidad de la tierra. Excavaron,  Convirtieron su espacio, debajo de sus casas, en su industria.  Y con el paso de los siglos, nosotros las seguiremos viendo.      Aquellos hombres.  Que en el ayer, con su querer y con su hacer, las construyeron.  Con cimbras, andamios, puntales; levantaron lo sentido y visto.  Bóvedas abrazadas de arcilla con ladrillo y piedra.  Con arcos de medio punto que las sujetaron al paso del tiempo. Quedaron.  Y con ojos de zarcera, era ventilación natural, y secas están.      Aquellos hombres.  Que bajaron y subieron tantas veces: a mejer, a encubar a limpiar  desgastando los pasos de la escalera y de su vida, en su hacer.  Algunos..., no vieron que la luz de la vela, se apagó, quedando en ellas.  Y ese buen vino, bebido en bodega, es querido. Aquellos..      Aquellos hombres, y sus bodegas.  Bodegas en tierra de vinos: de cepas, y sarmientos,  esta es mi tierra.  Tierra, de dulce mosto, que agricultores lo convierten en la cultura de su vida.  Vida, que se evapora, quedando historias bebidas en mortera en las bodegas.  Bodegas, que quedan como patrimonio industrial de aquellos hombres.  Hombres, que lo dulce de la vida, lo convirtieron en alcohol. Evaporó.   ",el silencio de las bodegas
75,"                             EL PATRIMONIO. UN BILLETE MÁGICO      Dejarme que os diga, algo que yo pienso que ya sabéis, me gusta viajar y sobre todo me gusta  viajar por el Patrimonio o si queréis con el Patrimonio, y como os conté alguna vez, siempre  me gusta disfrutar del placer de regresar a un lugar en el que nunca he estado, ya sé que es  una paradoja si nunca estuve como puedo regresar?, pues si, si se puede; yo no conocí el Valle  de Samuño con la Ana y la Mary, las viejas máquinas de vapor que pusieron en marcha los  Hermanos Felgueroso en 1900, pero hoy puedo volver a ese lugar, contemplar el patrimonio  recuperado, ver al maquinista y al fogonero subidos en una de esas máquinas, al guardaagujas  esperando y en algún punto al jefe de Estación dispuesto a dar la salida a tu imaginación.  Y me subo al tren en la estación del CADAVIU, al entrar me entregan una vieja foto de una  cuadrilla minera, me acomodo en mi vagón y dejo que la imaginación me lleve, contemplo el  paisaje y observo como el rio Samuño viaja con nosotros, intento escuchar su relato, dejo que  me cuente su vida, con la esperanza de oír la historia de esa vieja foto minera que acaricio en  mi mano, seguro que empezaría así Hace casi cien años, allá por 1920, bañaba con mis  aguas una finca llamada la Llosa y allí existía una Bocamina conocida como LA LLOSONA,  custodiada por una cuadrilla de 12 recios mineros acompañados de 2 mujeres, vieja bocamina  hoy día olvidada, que se encontraba aguas arriba del pueblo de la Nueva, pegadita al rio en su  margen derecho. Si te fijas bien, podrás observar la escena en el reflejo del agua como si de una  foto se tratase. Y como no, el murmullo del río Samuño nos podría ir dando los nombres y  profesiones de los presentes, sus sueños, sus miedos y todos esos aspectos sociales que sus  vidas acarreaban,  Ese es el sentido que hay que darle al patrimonio, conseguir un billete mágico para un tren  que te regrese en el tiempo y en el espacio allí donde tu nunca estuviste, como si fueses un  viajero, EL VIAJERO DEL PATRIMONIO, y te veas esperando al revisor, incluso que tu  imaginación te permita llegar a olerlo y a verlo, esa mezcla de olor a grasa y pana, ese bigote,  gorra con visera y riñonera atada a la cintura de donde mágicamente saca esas tenacillas que  hacen Click, Clack y te dejan una marca en tu billete, no una marca cualquiera sino su marca.  De pronto serás consciente que ante ti se abren profesiones extintas que incluso hay  generaciones hoy que no las conocieron y que, ahora, escuchando al patrimonio, se están  consiguiendo rescatar, se están recuperando paisajes olvidados, se cuentan formas de ver la  vida, diferentes a la actual, ni mejor ni peor, observas y comparas con el hoy y te das cuenta  que la filosofía, la forma de pensar, las esperanzas, tienen que ser distintas, el cambio  tecnológico, social y cultural ha sido tremendo, y que sin el patrimonio todo quedaría  olvidado Por si acaso coge tu billete mágico y no dejes que nuestra historia industrial se  convierta en una historia olvidada. VIAJEROS AL TREN!   ",patrimonio billete mgico
76,"                             Sentimientos mecanizados.  Nací allá por el siglo XVIII. Fui de las primeras en trabajar en este país, la novedad  por aquella época, rompedora de barreras e intrépida para mi corta edad.  He visto mucho a lo largo de mi vida, desacuerdos laborales, guerras, intensas  jornadas para lograr alcanzar nuevos objetivos, celebraciones de nuestros mejores  años en la empresa, revoluciones y gente dispuesta a avanzar.  Pero lo que más he disfrutado es de trabajar junto a Víctor. Lo he visto crecer desde  que tenía tan sólo quince años. He sido testigo de sus risas con sus compañeros, de  su compromiso con la empresa trabajando muy duro, incluso lo vi derramar unas  lágrimas cuando murió su esposa por una horrorosa enfermedad. Pero he aprendido  muchísimo con él. Valoro todo lo que me ha enseñado, la forma en la que nos  hemos complementado para avanzar juntos, siempre juntos hacia este nuevo  mundo.  Han pasado tantos años que ya me cuesta recordar algunos detalles de mi cuerpo,  he quedado destruida en mil pedazos innumerables veces, pero he vuelto a mi ser  con ayuda de mi inseparable compañero. Hemos crecido mucho profesionalmente, y  aunque me gustaría expresarle mi eterno agradecimiento, no puedo, no soy capaz.  Espero que siempre me recuerde tal y como me conoció, joven, vivaz, dispuesta a  todo. Nunca le he confesado que lo amo desde el día que lo vi por primera vez. Esos  ojos verdes que tantas veces he mirado fijamente. Pero no creía que fuese oportuno  mezclar temas laborales con el corazón.  Hoy Víctor se va de la empresa, y me siento sola, desamparada. No sé cuál va a ser  mi destino ahora que él no estará. Podré seguir trabajando aquí? Quién será mi  nuevo compañero? Nos entenderemos tan bien como lo hacía con él?  Me temo que todas las respuestas son negativas. He visto un par de hombres  paseando delante de mí y señalando. Los veo hacer cálculos y medir la zona donde  yo trabajo ahora, creo que van a substituirme.  Después de todo lo que he hecho por esta empresa, van a relevarme de mis  funciones, de mi vida y mi propósito para seguir en este mundo.  No creo que sobreviva a esto, al fin y al cabo, formo parte del pasado, soy como un  trasto viejo que pueden echar al contenedor de reciclaje y olvidarse de mí en un solo  instante.  Los he oído. Va a ocurrir mañana. Han colocado a un compañero mucho más joven  a mi lado, vendrán a por mí y no tendré más remedio que marchar.  Oh! Espera..., Qué está pasando? Qué estáis haciendo conmigo? Porqué me  lleváis aquí? Víctor, eres tú?  Gracias, estoy enormemente agradecida. Mi amor ha vuelto para rescatarme y me  ha llevado a un lugar mejor para que descanse aquí durante el resto de mi vida.  Ahora llevo una insignia que me enorgullece. Patrimonio de la industria española  Dice. Qué honor!   ",sentimientos mecanizados
77,"Aquel día habíamos merendado en casa de los tíos y tú te perdiste con el coche cuando  volvíamos a casa. Parecías desorientado y abrumado mientras mamá te echaba la bron  ca, como solía hacer. Yo entonces tenía diez años y lo recuerdo como si fuera ahora. No  supe, hasta tiempo después, que la causa de esa fuerte discusión no tenía que ver solo  con que anduviéramos perdidos por los arrabales de la gran ciudad, sino, sobre todo,  porque os ibais a separar y ese era el último día de nuestras vidas en que íbamos a estar  los tres juntos.  Tú callabas y sudabas en aquel mes de agosto cruel y en un momento dado detuviste el  coche al lado de lo que a mí me pareció una torre. Mamá salió detrás y yo no pude oír lo  que decíais en ese momento. Solo sé que tuve la impresión de que si me quedaba ahí,  me ibais abandonar y entonces salí llorando. Cuando me viste, me abrazaste y me dijiste  que no pasaba nada, que solo le estabas enseñando a mamá la belleza de la arqueología  industrial. Lo dijiste así. Yo levanté la vista del suelo y vi no una torre, sino lo que me  pareció una gran chimenea y te pregunté qué dónde estaba la casa. Te echaste a reír y a  continuación, con mucha calma y paciencia, me explicaste que no era la chimenea de  una casa normal, sino de una fábrica de lanas que había allí muchísimos años atrás.   Y por qué se ha quedado sola la chimenea? te pregunté.  De nuevo, sonreíste, y me pareció que era un signo de que todo iba bien   Porque la chimenea era la parte más bella de la fábrica, se puede ver desde la distan        cia y queda como un recuerdo de algo que ya no existe, pero que fue muy importante        en un momento de la historia de Zaragoza  respondiste.  Al día siguiente, ya no estabas en casa. Me habías dejado una carta de despedida que no  quise terminar de leer. He pensado muchas veces cómo hubiera sido mi vida si lo hubie  ra hecho. O si mamá y tú no hubierais acabado mal y no te hubieras ido a trabajar lejos.  Hoy, ocho años después, mamá me ha dado otra carta tuya y me ha hecho prometerle  que esta vez la leería entera. A veces los secretos son difíciles de guardar; mejor dejarlos  ir.  Y aquí estoy. Ya veo nuestra chimenea, bella en la distancia, lejana y presente al mismo  tiempo. No pensaba que volveríamos a encontrarnos precisamente en este lugar, pero  hoy he comprendido al leer tu carta que nada es lo que parece, que a veces la verdad se  esconde en lugares inesperados, como la belleza de esta chimenea industrial, y que tú  tampoco has olvidado aquella tarde calurosa de verano ni nuestra conversación. Que no  me has olvidado, papá.   ",arqueologia industrial
